,instance,id,m,t,val,time
0,gapa,0,5,100,1703,10.067821502685547
1,gapa,1,5,200,3236,10.170390605926514
2,gapa,2,10,100,1365,10.09787631034851
3,gapa,3,10,200,2628,10.310678243637085
4,gapa,4,20,100,1167,10.14990234375
5,gapa,5,20,200,2349,10.570091247558594
6,gapb,0,5,100,-1,10.050791263580322
7,gapb,1,5,200,3596,10.16140866279602
8,gapb,2,10,100,1436,10.0795156955719
9,gapb,3,10,200,2907,10.27785587310791
10,gapb,4,20,100,1203,10.143677473068237
11,gapb,5,20,200,2368,10.445549488067627
12,gapc,0,5,100,1980,10.059613943099976
13,gapc,1,5,200,3505,10.167113065719604
14,gapc,2,10,100,1440,10.077435970306396
15,gapc,3,10,200,2855,10.237345695495605
16,gapc,4,20,100,1276,10.128263473510742
17,gapc,5,20,200,2431,10.592427253723145
