,instance,id,val,saut,erreur,temps,val opt
0,c515-1,0,330,6,1.79,0.045,336
1,c515-2,1,319,8,2.45,0.034,327
2,c515-3,2,337,2,0.59,0.028,339
3,c515-4,3,331,10,2.93,0.052,341
4,c515-5,4,322,4,1.23,0.027,326
5,c1040-1,0,948,10,1.04,0.229,958
6,c1040-2,1,953,10,1.04,0.289,963
7,c1040-3,2,950,10,1.04,0.248,960
8,c1040-4,3,936,11,1.16,0.27,947
9,c1040-5,4,940,7,0.74,0.247,947
10,c1050-1,0,1131,8,0.7,0.352,1139
11,c1050-2,1,1171,7,0.59,0.372,1178
12,c1050-3,2,1187,8,0.67,0.471,1195
13,c1050-4,3,1159,12,1.02,0.379,1171
14,c1050-5,4,1154,17,1.45,0.435,1171
15,c1060-1,0,1436,15,1.03,0.493,1451
16,c1060-2,1,1442,7,0.48,0.604,1449
17,c1060-3,2,1424,9,0.63,0.743,1433
18,c1060-4,3,1437,10,0.69,0.649,1447
19,c1060-5,4,1432,14,0.97,0.54,1446
20,c520-1,0,427,7,1.61,0.036,434
21,c520-2,1,428,8,1.83,0.033,436
22,c520-3,2,416,4,0.95,0.041,420
23,c520-4,3,413,6,1.43,0.038,419
24,c520-5,4,423,5,1.17,0.037,428
25,c525-1,0,576,4,0.69,0.058,580
26,c525-2,1,555,9,1.6,0.071,564
27,c525-3,2,572,1,0.17,0.065,573
28,c525-4,3,568,2,0.35,0.057,570
29,c525-5,4,555,9,1.6,0.056,564
30,c530-1,0,651,5,0.76,0.082,656
31,c530-2,1,632,12,1.86,0.07,644
32,c530-3,2,662,11,1.63,0.081,673
33,c530-4,3,634,13,2.01,0.067,647
34,c530-5,4,657,7,1.05,0.07,664
35,c824-1,0,557,6,1.07,0.092,563
36,c824-2,1,546,12,2.15,0.096,558
37,c824-3,2,561,3,0.53,0.093,564
38,c824-4,3,566,2,0.35,0.085,568
39,c824-5,4,546,13,2.33,0.073,559
40,c832-1,0,755,6,0.79,0.132,761
41,c832-2,1,755,4,0.53,0.149,759
42,c832-3,2,748,10,1.32,0.13,758
43,c832-4,3,749,3,0.4,0.134,752
44,c832-5,4,746,1,0.13,0.118,747
45,c840-1,0,931,11,1.17,0.188,942
46,c840-2,1,941,8,0.84,0.205,949
47,c840-3,2,953,15,1.55,0.203,968
48,c840-4,3,918,27,2.86,0.186,945
49,c840-5,4,938,13,1.37,0.197,951
50,c848-1,0,1124,9,0.79,0.216,1133
51,c848-2,1,1113,21,1.85,0.225,1134
52,c848-3,2,1129,12,1.05,0.247,1141
53,c848-4,3,1108,9,0.81,0.226,1117
54,c848-5,4,1110,17,1.51,0.22,1127
55,c1030-1,0,703,6,0.85,0.137,709
56,c1030-2,1,709,8,1.12,0.159,717
57,c1030-3,2,702,10,1.4,0.12,712
58,c1030-4,3,720,3,0.41,0.137,723
59,c1030-5,4,693,13,1.84,0.137,706
