,instance,id,val,saut,erreur,temps,val opt
0,c515-1,0,334,2,0.6,180.031,336
1,c515-2,1,327,0,0.0,180.043,327
2,c515-3,2,334,5,1.47,180.032,339
3,c515-4,3,335,6,1.76,184.045,341
4,c515-5,4,322,4,1.23,184.04,326
5,c1040-1,0,955,3,0.31,192.721,958
6,c1040-2,1,962,1,0.1,184.418,963
7,c1040-3,2,954,6,0.62,180.454,960
8,c1040-4,3,941,6,0.63,180.796,947
9,c1040-5,4,941,6,0.63,180.521,947
10,c1050-1,0,1133,6,0.53,193.532,1139
11,c1050-2,1,1174,4,0.34,184.771,1178
12,c1050-3,2,1194,1,0.08,196.911,1195
13,c1050-4,3,1169,2,0.17,257.564,1171
14,c1050-5,4,1168,3,0.26,188.512,1171
15,c1060-1,0,1447,4,0.28,180.766,1451
16,c1060-2,1,1444,5,0.35,180.635,1449
17,c1060-3,2,1429,4,0.28,180.908,1433
18,c1060-4,3,1443,4,0.28,181.421,1447
19,c1060-5,4,1440,6,0.41,180.869,1446
20,c520-1,0,433,1,0.23,180.057,434
21,c520-2,1,432,4,0.92,180.037,436
22,c520-3,2,418,2,0.48,180.065,420
23,c520-4,3,413,6,1.43,180.044,419
24,c520-5,4,428,0,0.0,180.089,428
25,c525-1,0,578,2,0.34,180.086,580
26,c525-2,1,564,0,0.0,184.168,564
27,c525-3,2,572,1,0.17,180.052,573
28,c525-4,3,568,2,0.35,180.058,570
29,c525-5,4,561,3,0.53,180.083,564
30,c530-1,0,654,2,0.3,180.194,656
31,c530-2,1,639,5,0.78,180.165,644
32,c530-3,2,669,4,0.59,180.155,673
33,c530-4,3,644,3,0.46,180.111,647
34,c530-5,4,660,4,0.6,180.197,664
35,c824-1,0,563,0,0.0,224.451,563
36,c824-2,1,557,1,0.18,184.419,558
37,c824-3,2,564,0,0.0,208.721,564
38,c824-4,3,568,0,0.0,196.692,568
39,c824-5,4,553,6,1.07,184.158,559
40,c832-1,0,760,1,0.13,208.549,761
41,c832-2,1,759,0,0.0,196.48,759
42,c832-3,2,750,8,1.06,184.237,758
43,c832-4,3,752,0,0.0,220.61,752
44,c832-5,4,746,1,0.13,184.216,747
45,c840-1,0,936,6,0.64,180.511,942
46,c840-2,1,946,3,0.32,192.526,949
47,c840-3,2,965,3,0.31,188.321,968
48,c840-4,3,921,24,2.54,180.218,945
49,c840-5,4,942,9,0.95,180.321,951
50,c848-1,0,1125,8,0.71,180.308,1133
51,c848-2,1,1119,15,1.32,180.259,1134
52,c848-3,2,1134,7,0.61,180.31,1141
53,c848-4,3,1111,6,0.54,180.251,1117
54,c848-5,4,1115,12,1.06,180.253,1127
55,c1030-1,0,709,0,0.0,204.586,709
56,c1030-2,1,714,3,0.42,220.714,717
57,c1030-3,2,710,2,0.28,204.46,712
58,c1030-4,3,722,1,0.14,204.389,723
59,c1030-5,4,702,4,0.57,184.383,706
