,instance,id,val,saut,erreur,temps,val opt
0,a5-100,0,1703,5,0.29,0.397,1698
1,a5-200,1,3236,1,0.03,0.706,3235
2,a10-100,2,1365,5,0.37,0.411,1360
3,a10-200,3,2628,5,0.19,1.715,2623
4,a20-100,4,1167,9,0.78,0.772,1158
5,a20-200,5,2349,10,0.43,2.774,2339
6,b5-100,0,1887,44,2.39,0.098,1843
7,b5-200,1,3598,246,7.34,0.467,3352
8,b10-100,2,1430,23,1.63,0.287,1407
9,b10-200,3,2892,65,2.3,1.078,2827
10,b20-100,4,1205,39,3.34,0.62,1166
11,b20-200,5,2364,25,1.07,2.394,2339
12,c5-100,0,1957,26,1.35,0.162,1931
13,c5-200,1,3516,60,1.74,0.532,3456
14,c10-100,2,1440,38,2.71,0.25,1402
15,c10-200,3,2852,46,1.64,1.152,2806
16,c20-100,4,1276,33,2.65,0.585,1243
17,c20-200,5,2431,40,1.67,2.138,2391
