,instance,id,val,saut,erreur,temps,val opt
0,a5-100,0,1700,2,0.12,180.98,1698
1,a5-200,1,3235,0,0.0,182.387,3235
2,a10-100,2,1361,1,0.07,185.625,1360
3,a10-200,3,2623,0,0.0,190.915,2623
4,a20-100,4,1158,0,0.0,185.49,1158
5,a20-200,5,2339,0,0.0,198.19,2339
6,b5-100,0,1864,21,1.14,180.392,1843
7,b5-200,1,3581,229,6.83,181.306,3352
8,b10-100,2,1413,6,0.43,182.274,1407
9,b10-200,3,2860,33,1.17,237.471,2827
10,b20-100,4,1170,4,0.34,201.413,1166
11,b20-200,5,2347,8,0.34,284.983,2339
12,c5-100,0,1952,21,1.09,180.621,1931
13,c5-200,1,3500,44,1.27,181.773,3456
14,c10-100,2,1414,12,0.86,206.566,1402
15,c10-200,3,2838,32,1.14,187.046,2806
16,c20-100,4,1255,12,0.97,205.094,1243
17,c20-200,5,2424,33,1.38,189.958,2391
