,instance,id,val,saut,erreur,temps,val opt
0,c05100,0,1974.0,1974.0,inf,0.014,0
1,c05200,0,3516.0,3516.0,inf,0.104,0
2,c10100,0,1451.0,1451.0,inf,0.048,0
3,c10200,0,2852.0,2852.0,inf,0.122,0
4,c10400,0,5684.0,5684.0,inf,0.559,0
5,c15900,0,11538.0,11538.0,inf,4.998,0
6,c20100,0,1300.0,1300.0,inf,0.098,0
7,c201600,0,19061.0,19061.0,inf,21.994,0
8,c20200,0,2435.0,2435.0,inf,0.442,0
9,c20400,0,4897.0,4897.0,inf,1.198,0
10,c30900,0,10139.0,10139.0,inf,10.287,0
11,c401600,0,17391.0,17391.0,inf,45.89,0
12,c40400,0,4315.0,4315.0,inf,2.982,0
13,c60900,0,9462.0,9462.0,inf,24.577,0
14,c801600,0,16517.0,16517.0,inf,107.804,0
15,d05100,0,,,,0.003,0
16,d05200,0,13598.0,13598.0,inf,0.02,0
17,d10100,0,6812.0,6812.0,inf,0.023,0
18,d10200,0,13474.0,13474.0,inf,0.078,0
19,d10400,0,26999.0,26999.0,inf,0.296,0
20,d15900,0,60147.0,60147.0,inf,2.196,0
21,d20100,0,6633.0,6633.0,inf,0.099,0
22,d201600,0,105963.0,105963.0,inf,11.644,0
23,d20200,0,13335.0,13335.0,inf,0.203,0
24,d20400,0,26529.0,26529.0,inf,0.816,0
25,d30900,0,58961.0,58961.0,inf,6.69,0
26,d401600,0,104015.0,104015.0,inf,27.382,0
27,d40400,0,26228.0,26228.0,inf,2.479,0
28,d60900,0,57638.0,57638.0,inf,16.469,0
29,d801600,0,102643.0,102643.0,inf,68.904,0
