,file,id,val,saut,erreur,temps,val opt
0,gap1,0,309.0,27.0,0.08035714285714286,480.5822021961212,336
1,gap1,1,317.0,10.0,0.03058103975535168,480.00207352638245,327
2,gap1,2,328.0,11.0,0.032448377581120944,480.00066781044006,339
3,gap1,3,,,,0.00104522705078125,341
4,gap1,4,315.0,11.0,0.03374233128834356,480.00160479545593,326
5,gap2,0,401.0,33.0,0.07603686635944701,480.00126671791077,434
6,gap2,1,412.0,24.0,0.05504587155963303,480.0009431838989,436
7,gap2,2,416.0,4.0,0.009523809523809525,480.00263142585754,420
8,gap2,3,410.0,9.0,0.021479713603818614,480.0021331310272,419
9,gap2,4,418.0,10.0,0.02336448598130841,480.00193548202515,428
10,gap3,0,559.0,21.0,0.03620689655172414,480.00183749198914,580
11,gap3,1,545.0,19.0,0.03368794326241135,480.00187397003174,564
12,gap3,2,572.0,1.0,0.0017452006980802793,480.0025842189789,573
13,gap3,3,565.0,5.0,0.008771929824561403,480.002158164978,570
14,gap3,4,555.0,9.0,0.015957446808510637,480.00161695480347,564
15,gap4,0,652.0,4.0,0.006097560975609756,480.0020925998688,656
16,gap4,1,632.0,12.0,0.018633540372670808,480.00157952308655,644
17,gap4,2,659.0,14.0,0.020802377414561663,480.0018484592438,673
18,gap4,3,631.0,16.0,0.02472952086553323,480.00170969963074,647
19,gap4,4,645.0,19.0,0.0286144578313253,480.00199246406555,664
20,gap5,0,552.0,11.0,0.019538188277087035,480.00273537635803,563
21,gap5,1,540.0,18.0,0.03225806451612903,480.00365376472473,558
22,gap5,2,553.0,11.0,0.01950354609929078,480.0028829574585,564
23,gap5,3,556.0,12.0,0.02112676056338028,480.00222063064575,568
24,gap5,4,549.0,10.0,0.017889087656529516,480.00271439552307,559
25,gap6,0,753.0,8.0,0.010512483574244415,480.00525760650635,761
26,gap6,1,729.0,30.0,0.039525691699604744,480.0043840408325,759
27,gap6,2,722.0,36.0,0.047493403693931395,480.0037627220154,758
28,gap6,3,725.0,27.0,0.03590425531914894,480.00447487831116,752
29,gap6,4,732.0,15.0,0.020080321285140562,480.0059540271759,747
30,gap7,0,931.0,11.0,0.01167728237791932,480.0061135292053,942
31,gap7,1,934.0,15.0,0.015806111696522657,480.00932455062866,949
32,gap7,2,953.0,15.0,0.015495867768595042,480.00728249549866,968
33,gap7,3,913.0,32.0,0.033862433862433865,480.00677037239075,945
34,gap7,4,931.0,20.0,0.02103049421661409,480.0056993961334,951
35,gap8,0,1119.0,14.0,0.01235657546337158,480.0062675476074,1133
36,gap8,1,1103.0,31.0,0.027336860670194002,480.00945949554443,1134
37,gap8,2,1121.0,20.0,0.017528483786152498,480.00992703437805,1141
38,gap8,3,1097.0,20.0,0.017905102954341987,480.006560087204,1117
39,gap8,4,1088.0,39.0,0.03460514640638864,480.006707906723,1127
40,gap9,0,694.0,12.0,0.0169971671388102,480.0043134689331,706
41,gap9,1,694.0,23.0,0.03207810320781032,480.0048944950104,717
42,gap9,2,689.0,23.0,0.032303370786516857,480.0057179927826,712
43,gap9,3,709.0,14.0,0.019363762102351315,480.0034101009369,723
44,gap9,4,693.0,13.0,0.018413597733711047,480.00427198410034,706
45,gap10,0,945.0,13.0,0.013569937369519834,480.0088188648224,958
46,gap10,1,944.0,19.0,0.01973001038421599,480.0085537433624,963
47,gap10,2,944.0,16.0,0.016666666666666666,480.0081133842468,960
48,gap10,3,928.0,19.0,0.02006335797254488,480.0097408294678,947
49,gap10,4,931.0,16.0,0.01689545934530095,480.00882601737976,947
50,gap11,0,1120.0,19.0,0.016681299385425813,480.0116059780121,1139
51,gap11,1,1171.0,7.0,0.005942275042444821,480.0161597728729,1178
52,gap11,2,1184.0,11.0,0.009205020920502092,480.01122403144836,1195
53,gap11,3,1149.0,46.0,0.038493723849372385,480.0126225948334,1195
54,gap11,4,1154.0,17.0,0.014517506404782237,480.01394486427307,1171
55,gap12,0,1436.0,15.0,0.010337698139214336,480.01661229133606,1451
56,gap12,1,1435.0,14.0,0.00966183574879227,480.02149629592896,1449
57,gap12,2,1414.0,19.0,0.013258897418004187,480.02039551734924,1433
58,gap12,3,1434.0,13.0,0.008984105044920525,480.01948976516724,1447
59,gap12,4,1429.0,17.0,0.011756569847856155,480.02437019348145,1446
