,instance,id,m,t,val,time
0,gap1,0,5,15,330,0.044892072677612305
1,gap1,1,5,15,319,0.03390622138977051
2,gap1,2,5,15,337,0.02792644500732422
3,gap1,3,5,15,331,0.05188274383544922
4,gap1,4,5,15,322,0.02692246437072754
5,gap10,0,10,40,948,0.22940635681152344
6,gap10,1,10,40,953,0.2892439365386963
7,gap10,2,10,40,950,0.2483372688293457
8,gap10,3,10,40,936,0.2703084945678711
9,gap10,4,10,40,940,0.24737262725830078
10,gap11,0,10,50,1131,0.3518404960632324
11,gap11,1,10,50,1171,0.37199926376342773
12,gap11,2,10,50,1187,0.47077298164367676
13,gap11,3,10,50,1159,0.3790247440338135
14,gap11,4,10,50,1154,0.43486952781677246
15,gap12,0,10,60,1436,0.49271154403686523
16,gap12,1,10,60,1442,0.6037857532501221
17,gap12,2,10,60,1424,0.7429678440093994
18,gap12,3,10,60,1437,0.6493017673492432
19,gap12,4,10,60,1432,0.5395920276641846
20,gap2,0,5,20,427,0.03587770462036133
21,gap2,1,5,20,428,0.0329127311706543
22,gap2,2,5,20,416,0.04089021682739258
23,gap2,3,5,20,413,0.037899017333984375
24,gap2,4,5,20,423,0.03692793846130371
25,gap3,0,5,25,576,0.057847023010253906
26,gap3,1,5,25,555,0.07084178924560547
27,gap3,2,5,25,572,0.06482625007629395
28,gap3,3,5,25,568,0.056876420974731445
29,gap3,4,5,25,555,0.055852413177490234
30,gap4,0,5,30,651,0.08178973197937012
31,gap4,1,5,30,632,0.0698091983795166
32,gap4,2,5,30,662,0.08078241348266602
33,gap4,3,5,30,634,0.06680774688720703
34,gap4,4,5,30,657,0.06981277465820312
35,gap5,0,8,24,557,0.09176969528198242
36,gap5,1,8,24,546,0.09572267532348633
37,gap5,2,8,24,561,0.09275078773498535
38,gap5,3,8,24,566,0.08476614952087402
39,gap5,4,8,24,546,0.07283782958984375
40,gap6,0,8,32,755,0.13165283203125
41,gap6,1,8,32,755,0.1485903263092041
42,gap6,2,8,32,748,0.12965035438537598
43,gap6,3,8,32,749,0.13364219665527344
44,gap6,4,8,32,746,0.11772441864013672
45,gap7,0,8,40,931,0.1875011920928955
46,gap7,1,8,40,941,0.20548248291015625
47,gap7,2,8,40,953,0.202559232711792
48,gap7,3,8,40,918,0.18550801277160645
49,gap7,4,8,40,938,0.19747161865234375
50,gap8,0,8,48,1124,0.21642136573791504
51,gap8,1,8,48,1113,0.22539806365966797
52,gap8,2,8,48,1129,0.24730753898620605
53,gap8,3,8,48,1108,0.22639822959899902
54,gap8,4,8,48,1110,0.22040748596191406
55,gap9,0,10,30,703,0.13666892051696777
56,gap9,1,10,30,709,0.15857648849487305
57,gap9,2,10,30,702,0.11971259117126465
58,gap9,3,10,30,720,0.13673806190490723
59,gap9,4,10,30,693,0.13666605949401855
