,instance,id,m,t,val,time
0,gap1,0,5,15,334,180.03062796592712
1,gap1,1,5,15,327,180.04339575767517
2,gap1,2,5,15,334,180.03163981437683
3,gap1,3,5,15,335,184.04497718811035
4,gap1,4,5,15,322,184.04004645347595
5,gap10,0,10,40,955,192.7209701538086
6,gap10,1,10,40,962,184.4175341129303
7,gap10,2,10,40,954,180.45352816581726
8,gap10,3,10,40,941,180.79607510566711
9,gap10,4,10,40,941,180.52098941802979
10,gap11,0,10,50,1133,193.5321843624115
11,gap11,1,10,50,1174,184.77084922790527
12,gap11,2,10,50,1194,196.91065859794617
13,gap11,3,10,50,1169,257.5640285015106
14,gap11,4,10,50,1168,188.51193594932556
15,gap12,0,10,60,1447,180.7656660079956
16,gap12,1,10,60,1444,180.634681224823
17,gap12,2,10,60,1429,180.90759825706482
18,gap12,3,10,60,1443,181.42091727256775
19,gap12,4,10,60,1440,180.86883187294006
20,gap2,0,5,20,433,180.05749535560608
21,gap2,1,5,20,432,180.0365812778473
22,gap2,2,5,20,418,180.0645408630371
23,gap2,3,5,20,413,180.04380297660828
24,gap2,4,5,20,428,180.08920168876648
25,gap3,0,5,25,578,180.08564400672913
26,gap3,1,5,25,564,184.16777563095093
27,gap3,2,5,25,572,180.05164790153503
28,gap3,3,5,25,568,180.05801153182983
29,gap3,4,5,25,561,180.08292651176453
30,gap4,0,5,30,654,180.19414162635803
31,gap4,1,5,30,639,180.16506624221802
32,gap4,2,5,30,669,180.15510725975037
33,gap4,3,5,30,644,180.11055374145508
34,gap4,4,5,30,660,180.19659566879272
35,gap5,0,8,24,563,224.45125460624695
36,gap5,1,8,24,557,184.41871643066406
37,gap5,2,8,24,564,208.72087335586548
38,gap5,3,8,24,568,196.6918592453003
39,gap5,4,8,24,553,184.157865524292
40,gap6,0,8,32,760,208.54905366897583
41,gap6,1,8,32,759,196.4799680709839
42,gap6,2,8,32,750,184.23747372627258
43,gap6,3,8,32,752,220.61032843589783
44,gap6,4,8,32,746,184.21644020080566
45,gap7,0,8,40,936,180.5113501548767
46,gap7,1,8,40,946,192.5263729095459
47,gap7,2,8,40,965,188.32115745544434
48,gap7,3,8,40,921,180.21786522865295
49,gap7,4,8,40,942,180.32117104530334
50,gap8,0,8,48,1125,180.3082377910614
51,gap8,1,8,48,1119,180.25908517837524
52,gap8,2,8,48,1134,180.30988240242004
53,gap8,3,8,48,1111,180.25141406059265
54,gap8,4,8,48,1115,180.25267910957336
55,gap9,0,10,30,709,204.58638882637024
56,gap9,1,10,30,714,220.71363639831543
57,gap9,2,10,30,710,204.4597852230072
58,gap9,3,10,30,722,204.38879489898682
59,gap9,4,10,30,702,184.38277006149292
