,instance,id,m,t,val,time
0,gapa,0,5,100,1703,0.39693617820739746
1,gapa,1,5,200,3236,0.7060806751251221
2,gapa,2,10,100,1365,0.4109039306640625
3,gapa,3,10,200,2628,1.7145674228668213
4,gapa,4,20,100,1167,0.7716884613037109
5,gapa,5,20,200,2349,2.7741503715515137
6,gapb,0,5,100,1887,0.09776711463928223
7,gapb,1,5,200,3598,0.46678614616394043
8,gapb,2,10,100,1430,0.2870783805847168
9,gapb,3,10,200,2892,1.078064203262329
10,gapb,4,20,100,1205,0.6204080581665039
11,gapb,5,20,200,2364,2.3936221599578857
12,gapc,0,5,100,1957,0.16159701347351074
13,gapc,1,5,200,3516,0.5316731929779053
14,gapc,2,10,100,1440,0.25035977363586426
15,gapc,3,10,200,2852,1.1519596576690674
16,gapc,4,20,100,1276,0.5850422382354736
17,gapc,5,20,200,2431,2.1382834911346436
