,instance,id,m,t,val,time
0,c05100,0,5,100,4377,120.01819682121277
1,c05200,0,5,200,8254,120.05203628540039
2,c10100,0,10,100,4468,120.04614567756653
3,c10200,0,10,200,9180,120.15831327438354
4,c10400,0,10,400,18157,120.67626810073853
5,c15900,0,15,900,42552,125.57308793067932
6,c20100,0,20,100,4696,120.10221743583679
7,c201600,0,20,1600,76532,144.64249777793884
8,c20200,0,20,200,9549,120.42089676856995
9,c20400,0,20,400,19055,121.67584753036499
10,c30900,0,30,900,43694,133.45397782325745
11,c401600,0,40,1600,78368,181.79596138000488
12,c40400,0,40,400,19559,124.06026792526245
13,c60900,0,60,900,44428,150.35551714897156
14,c801600,0,80,1600,79365,250.6380660533905
15,d05100,0,5,100,9147,120.01073002815247
16,d05200,0,5,200,18750,120.0282564163208
17,d10100,0,10,100,10349,120.03621125221252
18,d10200,0,10,200,20562,120.09910655021667
19,d10400,0,10,400,41222,120.39295101165771
20,d15900,0,15,900,95869,123.412034034729
21,d20100,0,20,100,10839,120.06849145889282
22,d201600,0,20,1600,173695,136.08652758598328
23,d20200,0,20,200,21733,120.23871374130249
24,d20400,0,20,400,43332,121.0061457157135
25,d30900,0,30,900,99560,129.8533797264099
26,d401600,0,40,1600,179034,164.99104022979736
27,d40400,0,40,400,44926,122.92155647277832
28,d60900,0,60,900,102225,144.43842720985413
29,d801600,0,80,1600,183367,221.24751543998718
