Instance,Run_ID,Res
gap1,1,310,0.4415779113769531
gap1,2,316,0.31693124771118164
gap1,3,326,0.31853485107421875
gap1,4,323,0.3070340156555176
gap1,5,304,0.3137350082397461
gap2,1,412,0.33219289779663086
gap2,2,422,0.3161802291870117
gap2,3,390,0.4494740962982178
gap2,4,390,0.2967839241027832
gap2,5,406,0.31449103355407715
gap3,1,547,0.289844274520874
gap3,2,529,0.4052560329437256
gap3,3,531,0.34897279739379883
gap3,4,528,0.3744361400604248
gap3,5,536,0.3037381172180176
gap4,1,609,0.34683823585510254
gap4,2,581,0.3203389644622803
gap4,3,629,0.28708982467651367
gap4,4,607,0.26589488983154297
gap4,5,622,0.285733699798584
gap5,1,511,0.277972936630249
gap5,2,497,0.3109171390533447
gap5,3,515,0.32923173904418945
gap5,4,540,0.3113999366760254
gap5,5,510,0.26973485946655273
gap6,1,691,0.31372904777526855
gap6,2,679,0.317612886428833
gap6,3,668,0.2764852046966553
gap6,4,679,0.27024221420288086
gap6,5,675,0.2591228485107422
gap7,1,855,0.310230016708374
gap7,2,847,0.3622591495513916
gap7,3,863,0.3012051582336426
gap7,4,834,0.28650498390197754
gap7,5,845,0.48700809478759766
gap8,1,1063,0.28219127655029297
gap8,2,1036,0.3357682228088379
gap8,3,1042,0.27362608909606934
gap8,4,1035,0.2691829204559326
gap8,5,1034,0.2785179615020752
gap9,1,641,0.4178950786590576
gap9,2,644,0.3138749599456787
gap9,3,651,0.2659761905670166
gap9,4,665,0.2924809455871582
gap9,5,638,0.2624518871307373
gap10,1,889,0.26961493492126465
gap10,2,853,0.26975297927856445
gap10,3,886,0.2655050754547119
gap10,4,834,0.31281518936157227
gap10,5,852,0.27439212799072266
gap11,1,1024,0.2895359992980957
gap11,2,1039,0.2746429443359375
gap11,3,1093,0.2410728931427002
gap11,4,1015,0.22261285781860352
gap11,5,1023,0.20972967147827148
gap12,1,1326,0.22067785263061523
gap12,2,1313,0.21594905853271484
gap12,3,1281,0.2667217254638672
gap12,4,1319,0.2309250831604004
gap12,5,1295,0.22082805633544922
